Transition Profile during evaluation with reward shaping:
Q-table shape: (7, 6, 24, 5, 4, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week', 'Season']
State bin size: [7, 6, 24, 5, 4]
Bins length: 5
Bins: [array([  0.        ,  41.42857143,  82.85714286, 124.28571429,
       165.71428571, 207.14285714, 248.57142857, 290.        ]), array([1.00000000e-02, 2.60683333e+01, 5.21266667e+01, 7.81850000e+01,
       1.04243333e+02, 1.30301667e+02, 1.56360000e+02]), array([ 1.,  2.,  3.,  4.,  5.,  6.,  7.,  8.,  9., 10., 11., 12., 13.,
       14., 15., 16., 17., 18., 19., 20., 21., 22., 23., 24., 25.]), array([0. , 1.2, 2.4, 3.6, 4.8, 6. ]), array([0.  , 0.75, 1.5 , 2.25, 3.  ])]
Discount rate: 0.3998609717152556
Small reward: 46.66566321361543
Large reward: 19475.110376829187
Learning rate: 0.06983140212909128
N episodes: 10
State: [110.    27.18  24.     9.  ], Action: 1, Reward: -271.8, Next state: [ 0.  15.4  1.  10. ]
State: [ 0.  15.4  1.  10. ], Action: 2, Reward: -154.0, Next state: [10.   16.71  2.   10.  ]
State: [10.   16.71  2.   10.  ], Action: 0, Reward: -0.0, Next state: [10.  14.8  3.  10. ]
State: [10.  14.8  3.  10. ], Action: 0, Reward: -0.0, Next state: [10.   9.5  4.  10. ]
State: [10.   9.5  4.  10. ], Action: 0, Reward: -0.0, Next state: [10.    8.18  5.   10.  ]
State: [10.    8.18  5.   10.  ], Action: 0, Reward: -0.0, Next state: [10.  15.5  6.  10. ]
State: [10.  15.5  6.  10. ], Action: 0, Reward: -0.0, Next state: [10.   22.91  7.   10.  ]
State: [10.   22.91  7.   10.  ], Action: 0, Reward: -0.0, Next state: [10.   35.99  8.   10.  ]
State: [10.   35.99  8.   10.  ], Action: 0, Reward: -0.0, Next state: [10.   39.93  9.   10.  ]
State: [10.   39.93  9.   10.  ], Action: 0, Reward: -0.0, Next state: [10.   39.44 10.   10.  ]
State: [10.   39.44 10.   10.  ], Action: 1, Reward: -394.4, Next state: [20. 38. 11. 10.]
State: [20. 38. 11. 10.], Action: 0, Reward: -0.0, Next state: [20. 38. 12. 10.]
State: [20. 38. 12. 10.], Action: 1, Reward: -380.0, Next state: [30.   37.05 13.   10.  ]
State: [30.   37.05 13.   10.  ], Action: 1, Reward: -370.5, Next state: [40.   35.69 14.   10.  ]
