Transition Profile during evaluationwithout reward shaping:
Q-table shape: (10, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State: [ 90.  97.  13. 135.], Action: 0, Reward: -0.0, Next state: [ 90.  98.  14. 135.]
State: [ 90.  98.  14. 135.], Action: 0, Reward: -0.0, Next state: [ 90.  97.  15. 135.]
State: [ 90.  97.  15. 135.], Action: 0, Reward: -0.0, Next state: [ 90.  73.  16. 135.]
State: [ 90.  73.  16. 135.], Action: 0, Reward: -0.0, Next state: [ 90.    50.12  17.   135.  ]
State: [ 90.    50.12  17.   135.  ], Action: 0, Reward: -0.0, Next state: [ 90.    46.21  18.   135.  ]
State: [ 90.    46.21  18.   135.  ], Action: 1, Reward: -462.1, Next state: [100.   44.5  19.  135. ]
State: [100.   44.5  19.  135. ], Action: 1, Reward: -445.0, Next state: [110.    41.89  20.   135.  ]
State: [110.    41.89  20.   135.  ], Action: 1, Reward: -418.9, Next state: [120.    40.11  21.   135.  ]
State: [120.    40.11  21.   135.  ], Action: 0, Reward: -0.0, Next state: [120.    38.99  22.   135.  ]
State: [120.    38.99  22.   135.  ], Action: 1, Reward: -389.90000000000003, Next state: [130.    35.37  23.   135.  ]
State: [130.    35.37  23.   135.  ], Action: 1, Reward: -353.7, Next state: [140.   29.5  24.  135. ]
State: [140.   29.5  24.  135. ], Action: 1, Reward: -295.0, Next state: [ 30.    23.05   1.   136.  ]
State: [ 30.    23.05   1.   136.  ], Action: 2, Reward: -230.5, Next state: [ 40.    21.05   2.   136.  ]
State: [ 40.    21.05   2.   136.  ], Action: 2, Reward: -210.5, Next state: [ 50.    20.01   3.   136.  ]
State: [ 50.    20.01   3.   136.  ], Action: 2, Reward: -200.10000000000002, Next state: [ 60.    14.09   4.   136.  ]
State: [ 60.    14.09   4.   136.  ], Action: 0, Reward: -0.0, Next state: [ 60.     9.17   5.   136.  ]
State: [ 60.     9.17   5.   136.  ], Action: 0, Reward: -0.0, Next state: [ 60.    19.71   6.   136.  ]
State: [ 60.    19.71   6.   136.  ], Action: 2, Reward: -197.10000000000002, Next state: [ 70.    21.09   7.   136.  ]
State: [ 70.    21.09   7.   136.  ], Action: 2, Reward: -210.9, Next state: [ 80.  39.   8. 136.]
State: [ 80.  39.   8. 136.], Action: 2, Reward: -390.0, Next state: [ 90.    57.01   9.   136.  ]
State: [ 90.    57.01   9.   136.  ], Action: 0, Reward: -0.0, Next state: [ 90.    64.91  10.   136.  ]
State: [ 90.    64.91  10.   136.  ], Action: 0, Reward: -0.0, Next state: [ 90.   67.9  11.  136. ]
State: [ 90.   67.9  11.  136. ], Action: 0, Reward: -0.0, Next state: [ 90.    68.86  12.   136.  ]
State: [ 90.    68.86  12.   136.  ], Action: 0, Reward: -0.0, Next state: [ 90.   89.9  13.  136. ]
State: [ 90.   89.9  13.  136. ], Action: 0, Reward: -0.0, Next state: [ 90.    64.99  14.   136.  ]
State: [ 90.    64.99  14.   136.  ], Action: 2, Reward: -649.9, Next state: [100.    59.12  15.   136.  ]
State: [100.    59.12  15.   136.  ], Action: 2, Reward: -591.1999999999999, Next state: [110.    55.37  16.   136.  ]
State: [110.    55.37  16.   136.  ], Action: 2, Reward: -553.6999999999999, Next state: [120.  48.  17. 136.]
State: [120.  48.  17. 136.], Action: 0, Reward: -0.0, Next state: [120.    42.99  18.   136.  ]
State: [120.    42.99  18.   136.  ], Action: 0, Reward: -0.0, Next state: [120.  42.  19. 136.]
State: [120.  42.  19. 136.], Action: 0, Reward: -0.0, Next state: [120.   36.9  20.  136. ]
State: [120.   36.9  20.  136. ], Action: 0, Reward: -0.0, Next state: [120.  30.  21. 136.]
State: [120.  30.  21. 136.], Action: 0, Reward: -0.0, Next state: [120.    29.99  22.   136.  ]
State: [120.    29.99  22.   136.  ], Action: 2, Reward: -299.9, Next state: [130.  32.  23. 136.]
State: [130.  32.  23. 136.], Action: 2, Reward: -320.0, Next state: [140.    27.89  24.   136.  ]
State: [140.    27.89  24.   136.  ], Action: 2, Reward: -278.9, Next state: [ 30.    23.42   1.   137.  ]
State: [ 30.    23.42   1.   137.  ], Action: 2, Reward: -234.20000000000002, Next state: [ 40.    21.32   2.   137.  ]
State: [ 40.    21.32   2.   137.  ], Action: 2, Reward: -213.2, Next state: [ 50.    19.55   3.   137.  ]
State: [ 50.    19.55   3.   137.  ], Action: 2, Reward: -195.5, Next state: [ 60.    18.25   4.   137.  ]
State: [ 60.    18.25   4.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    15.05   5.   137.  ]
State: [ 60.    15.05   5.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.   15.8   6.  137. ]
State: [ 60.   15.8   6.  137. ], Action: 0, Reward: -0.0, Next state: [ 60.     8.99   7.   137.  ]
State: [ 60.     8.99   7.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    17.36   8.   137.  ]
State: [ 60.    17.36   8.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    21.09   9.   137.  ]
State: [ 60.    21.09   9.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    23.08  10.   137.  ]
State: [ 60.    23.08  10.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    23.09  11.   137.  ]
State: [ 60.    23.09  11.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    24.49  12.   137.  ]
State: [ 60.    24.49  12.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    27.97  13.   137.  ]
State: [ 60.    27.97  13.   137.  ], Action: 0, Reward: -0.0, Next state: [ 60.    23.96  14.   137.  ]
State: [ 60.    23.96  14.   137.  ], Action: 1, Reward: -239.60000000000002, Next state: [ 70.    22.02  15.   137.  ]
State: [ 70.    22.02  15.   137.  ], Action: 1, Reward: -220.2, Next state: [ 80.    20.82  16.   137.  ]
State: [ 80.    20.82  16.   137.  ], Action: 1, Reward: -208.2, Next state: [ 90.    19.76  17.   137.  ]
State: [ 90.    19.76  17.   137.  ], Action: 1, Reward: -197.60000000000002, Next state: [100.    20.07  18.   137.  ]
State: [100.    20.07  18.   137.  ], Action: 1, Reward: -200.7, Next state: [110.    21.09  19.   137.  ]
State: [110.    21.09  19.   137.  ], Action: 1, Reward: -210.9, Next state: [120.    21.35  20.   137.  ]
State: [120.    21.35  20.   137.  ], Action: 0, Reward: -0.0, Next state: [120.  22.  21. 137.]
State: [120.  22.  21. 137.], Action: 0, Reward: -0.0, Next state: [120.    22.97  22.   137.  ]
State: [120.    22.97  22.   137.  ], Action: 2, Reward: -229.7, Next state: [130.   26.1  23.  137. ]
State: [130.   26.1  23.  137. ], Action: 2, Reward: -261.0, Next state: [140.    24.35  24.   137.  ]
State: [140.    24.35  24.   137.  ], Action: 2, Reward: -243.5, Next state: [ 30.    18.06   1.   138.  ]
State: [ 30.    18.06   1.   138.  ], Action: 1, Reward: -180.6, Next state: [ 40.    16.01   2.   138.  ]
State: [ 40.    16.01   2.   138.  ], Action: 1, Reward: -160.10000000000002, Next state: [ 50.    15.01   3.   138.  ]
State: [ 50.    15.01   3.   138.  ], Action: 1, Reward: -150.1, Next state: [ 60.    14.04   4.   138.  ]
State: [ 60.    14.04   4.   138.  ], Action: 0, Reward: -0.0, Next state: [ 60.    10.08   5.   138.  ]
State: [ 60.    10.08   5.   138.  ], Action: 0, Reward: -0.0, Next state: [ 60.    16.68   6.   138.  ]
State: [ 60.    16.68   6.   138.  ], Action: 0, Reward: -0.0, Next state: [ 60.    19.07   7.   138.  ]
State: [ 60.    19.07   7.   138.  ], Action: 0, Reward: -0.0, Next state: [ 60.    26.02   8.   138.  ]
State: [ 60.    26.02   8.   138.  ], Action: 0, Reward: -0.0, Next state: [ 60.   30.1   9.  138. ]
State: [ 60.   30.1   9.  138. ], Action: 0, Reward: -0.0, Next state: [ 60.    34.06  10.   138.  ]
State: [ 60.    34.06  10.   138.  ], Action: 1, Reward: -340.6, Next state: [ 70.    35.01  11.   138.  ]
State: [ 70.    35.01  11.   138.  ], Action: 1, Reward: -350.09999999999997, Next state: [ 80.    36.04  12.   138.  ]
State: [ 80.    36.04  12.   138.  ], Action: 1, Reward: -360.4, Next state: [ 90.    37.07  13.   138.  ]
State: [ 90.    37.07  13.   138.  ], Action: 0, Reward: -0.0, Next state: [ 90.    33.97  14.   138.  ]
State: [ 90.    33.97  14.   138.  ], Action: 0, Reward: -0.0, Next state: [ 90.   29.8  15.  138. ]
State: [ 90.   29.8  15.  138. ], Action: 0, Reward: -0.0, Next state: [ 90.    28.09  16.   138.  ]
State: [ 90.    28.09  16.   138.  ], Action: 0, Reward: -0.0, Next state: [ 90.  28.  17. 138.]
State: [ 90.  28.  17. 138.], Action: 0, Reward: -0.0, Next state: [ 90.    28.02  18.   138.  ]
State: [ 90.    28.02  18.   138.  ], Action: 2, Reward: -280.2, Next state: [100.    28.08  19.   138.  ]
State: [100.    28.08  19.   138.  ], Action: 2, Reward: -280.79999999999995, Next state: [110.    29.04  20.   138.  ]
State: [110.    29.04  20.   138.  ], Action: 2, Reward: -290.4, Next state: [120.   27.1  21.  138. ]
State: [120.   27.1  21.  138. ], Action: 0, Reward: -0.0, Next state: [120.    27.16  22.   138.  ]
State: [120.    27.16  22.   138.  ], Action: 0, Reward: -0.0, Next state: [120.   34.9  23.  138. ]
State: [120.   34.9  23.  138. ], Action: 0, Reward: -0.0, Next state: [120.   32.9  24.  138. ]
State: [120.   32.9  24.  138. ], Action: 0, Reward: -0.0, Next state: [  0.    23.96   1.   139.  ]
State: [  0.    23.96   1.   139.  ], Action: 0, Reward: -0.0, Next state: [  0.    20.07   2.   139.  ]
State: [  0.    20.07   2.   139.  ], Action: 0, Reward: -0.0, Next state: [  0.    19.01   3.   139.  ]
State: [  0.    19.01   3.   139.  ], Action: 0, Reward: -0.0, Next state: [  0.    16.02   4.   139.  ]
State: [  0.    16.02   4.   139.  ], Action: 0, Reward: -0.0, Next state: [  0.    13.05   5.   139.  ]
State: [  0.    13.05   5.   139.  ], Action: 0, Reward: -0.0, Next state: [  0.    14.08   6.   139.  ]
State: [  0.    14.08   6.   139.  ], Action: 1, Reward: -140.8, Next state: [ 10.    15.05   7.   139.  ]
State: [ 10.    15.05   7.   139.  ], Action: 1, Reward: -150.5, Next state: [ 20.    21.25   8.   139.  ]
State: [ 20.    21.25   8.   139.  ], Action: 1, Reward: -212.5, Next state: [ 30.    24.51   9.   139.  ]
State: [ 30.    24.51   9.   139.  ], Action: 1, Reward: -245.10000000000002, Next state: [ 40.    28.93  10.   139.  ]
State: [ 40.    28.93  10.   139.  ], Action: 2, Reward: -289.3, Next state: [ 50.  29.  11. 139.]
State: [ 50.  29.  11. 139.], Action: 2, Reward: -290.0, Next state: [ 60.    34.72  12.   139.  ]
State: [ 60.    34.72  12.   139.  ], Action: 1, Reward: -347.2, Next state: [ 70.    34.71  13.   139.  ]
State: [ 70.    34.71  13.   139.  ], Action: 1, Reward: -347.1, Next state: [ 80.    29.91  14.   139.  ]
State: [ 80.    29.91  14.   139.  ], Action: 1, Reward: -299.1, Next state: [ 90.    27.88  15.   139.  ]
State: [ 90.    27.88  15.   139.  ], Action: 1, Reward: -278.8, Next state: [100.    26.55  16.   139.  ]
State: [100.    26.55  16.   139.  ], Action: 1, Reward: -265.5, Next state: [110.    24.75  17.   139.  ]
State: [110.    24.75  17.   139.  ], Action: 1, Reward: -247.5, Next state: [120.    26.56  18.   139.  ]
State: [120.    26.56  18.   139.  ], Action: 0, Reward: -0.0, Next state: [120.    26.18  19.   139.  ]
State: [120.    26.18  19.   139.  ], Action: 0, Reward: -0.0, Next state: [120.    25.02  20.   139.  ]
State: [120.    25.02  20.   139.  ], Action: 0, Reward: -0.0, Next state: [120.    24.75  21.   139.  ]
State: [120.    24.75  21.   139.  ], Action: 0, Reward: -0.0, Next state: [120.    24.05  22.   139.  ]
State: [120.    24.05  22.   139.  ], Action: 2, Reward: -240.5, Next state: [130.    40.33  23.   139.  ]
State: [130.    40.33  23.   139.  ], Action: 2, Reward: -403.29999999999995, Next state: [140.    34.55  24.   139.  ]
State: [140.    34.55  24.   139.  ], Action: 2, Reward: -345.5, Next state: [ 30.    18.18   1.   140.  ]
State: [ 30.    18.18   1.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    15.08   2.   140.  ]
State: [ 30.    15.08   2.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    14.02   3.   140.  ]
State: [ 30.    14.02   3.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    13.02   4.   140.  ]
State: [ 30.    13.02   4.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    12.03   5.   140.  ]
State: [ 30.    12.03   5.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    11.08   6.   140.  ]
State: [ 30.    11.08   6.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.     8.18   7.   140.  ]
State: [ 30.     8.18   7.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.   12.1   8.  140. ]
State: [ 30.   12.1   8.  140. ], Action: 0, Reward: -0.0, Next state: [ 30.    15.07   9.   140.  ]
State: [ 30.    15.07   9.   140.  ], Action: 0, Reward: -0.0, Next state: [ 30.    22.28  10.   140.  ]
State: [ 30.    22.28  10.   140.  ], Action: 2, Reward: -222.8, Next state: [ 40.    24.54  11.   140.  ]
State: [ 40.    24.54  11.   140.  ], Action: 2, Reward: -245.39999999999998, Next state: [ 50.    28.92  12.   140.  ]
State: [ 50.    28.92  12.   140.  ], Action: 2, Reward: -289.20000000000005, Next state: [ 60.    28.92  13.   140.  ]
State: [ 60.    28.92  13.   140.  ], Action: 1, Reward: -289.20000000000005, Next state: [ 70.  24.  14. 140.]
State: [ 70.  24.  14. 140.], Action: 2, Reward: -240.0, Next state: [ 80.  23.  15. 140.]
State: [ 80.  23.  15. 140.], Action: 2, Reward: -230.0, Next state: [ 90.    21.64  16.   140.  ]
State: [ 90.    21.64  16.   140.  ], Action: 0, Reward: -0.0, Next state: [ 90.    21.04  17.   140.  ]
State: [ 90.    21.04  17.   140.  ], Action: 0, Reward: -0.0, Next state: [ 90.    24.99  18.   140.  ]
State: [ 90.    24.99  18.   140.  ], Action: 2, Reward: -249.89999999999998, Next state: [100.  25.  19. 140.]
State: [100.  25.  19. 140.], Action: 2, Reward: -250.0, Next state: [110.    27.24  20.   140.  ]
State: [110.    27.24  20.   140.  ], Action: 2, Reward: -272.4, Next state: [120.    30.49  21.   140.  ]
State: [120.    30.49  21.   140.  ], Action: 2, Reward: -304.9, Next state: [130.    30.59  22.   140.  ]
State: [130.    30.59  22.   140.  ], Action: 1, Reward: -305.9, Next state: [140.    44.96  23.   140.  ]
State: [140.    44.96  23.   140.  ], Action: 1, Reward: -449.6, Next state: [150.  25.  24. 140.]
State: [150.  25.  24. 140.], Action: 0, Reward: -0.0, Next state: [ 30.    15.05   1.   141.  ]
State: [ 30.    15.05   1.   141.  ], Action: 1, Reward: -150.5, Next state: [ 40.    12.07   2.   141.  ]
State: [ 40.    12.07   2.   141.  ], Action: 1, Reward: -120.7, Next state: [ 50.    12.05   3.   141.  ]
State: [ 50.    12.05   3.   141.  ], Action: 1, Reward: -120.5, Next state: [ 60.    8.1   4.  141. ]
State: [ 60.    8.1   4.  141. ], Action: 0, Reward: -0.0, Next state: [ 60.     8.18   5.   141.  ]
State: [ 60.     8.18   5.   141.  ], Action: 0, Reward: -0.0, Next state: [ 60.    15.92   6.   141.  ]
State: [ 60.    15.92   6.   141.  ], Action: 1, Reward: -159.2, Next state: [ 70.  25.   7. 141.]
State: [ 70.  25.   7. 141.], Action: 1, Reward: -250.0, Next state: [ 80.   43.9   8.  141. ]
State: [ 80.   43.9   8.  141. ], Action: 1, Reward: -439.0, Next state: [ 90.  51.   9. 141.]
State: [ 90.  51.   9. 141.], Action: 0, Reward: -0.0, Next state: [ 90.    57.75  10.   141.  ]
State: [ 90.    57.75  10.   141.  ], Action: 0, Reward: -0.0, Next state: [ 90.  80.  11. 141.]
State: [ 90.  80.  11. 141.], Action: 0, Reward: -0.0, Next state: [ 90. 107.  12. 141.]
State: [ 90. 107.  12. 141.], Action: 0, Reward: -0.0, Next state: [ 90.    88.02  13.   141.  ]
State: [ 90.    88.02  13.   141.  ], Action: 0, Reward: -0.0, Next state: [ 90. 177.  14. 141.]
State: [ 90. 177.  14. 141.], Action: 0, Reward: -0.0, Next state: [ 90.  70.  15. 141.]
State: [ 90.  70.  15. 141.], Action: 0, Reward: -0.0, Next state: [ 90.   64.5  16.  141. ]
State: [ 90.   64.5  16.  141. ], Action: 0, Reward: -0.0, Next state: [ 90.   51.5  17.  141. ]
State: [ 90.   51.5  17.  141. ], Action: 0, Reward: -0.0, Next state: [ 90.   49.3  18.  141. ]
State: [ 90.   49.3  18.  141. ], Action: 2, Reward: -493.0, Next state: [100.   45.9  19.  141. ]
State: [100.   45.9  19.  141. ], Action: 2, Reward: -459.0, Next state: [110.    41.91  20.   141.  ]
State: [110.    41.91  20.   141.  ], Action: 2, Reward: -419.09999999999997, Next state: [120.  44.  21. 141.]
State: [120.  44.  21. 141.], Action: 0, Reward: -0.0, Next state: [120.    41.94  22.   141.  ]
State: [120.    41.94  22.   141.  ], Action: 2, Reward: -419.4, Next state: [130.    41.08  23.   141.  ]
State: [130.    41.08  23.   141.  ], Action: 2, Reward: -410.79999999999995, Next state: [140.    42.62  24.   141.  ]
State: [140.    42.62  24.   141.  ], Action: 2, Reward: -426.2, Next state: [ 30.   29.1   1.  142. ]
State: [ 30.   29.1   1.  142. ], Action: 2, Reward: -291.0, Next state: [ 40.    23.17   2.   142.  ]
State: [ 40.    23.17   2.   142.  ], Action: 2, Reward: -231.70000000000002, Next state: [ 50.    20.88   3.   142.  ]
State: [ 50.    20.88   3.   142.  ], Action: 2, Reward: -208.79999999999998, Next state: [ 60.    17.88   4.   142.  ]
State: [ 60.    17.88   4.   142.  ], Action: 0, Reward: -0.0, Next state: [ 60.    11.06   5.   142.  ]
State: [ 60.    11.06   5.   142.  ], Action: 0, Reward: -0.0, Next state: [ 60.   22.1   6.  142. ]
State: [ 60.   22.1   6.  142. ], Action: 2, Reward: -221.0, Next state: [ 70.    27.51   7.   142.  ]
State: [ 70.    27.51   7.   142.  ], Action: 2, Reward: -275.1, Next state: [ 80.   45.2   8.  142. ]
State: [ 80.   45.2   8.  142. ], Action: 2, Reward: -452.0, Next state: [ 90.    58.08   9.   142.  ]
State: [ 90.    58.08   9.   142.  ], Action: 0, Reward: -0.0, Next state: [ 90. 400.  10. 142.]
State: [ 90. 400.  10. 142.], Action: 0, Reward: -0.0, Next state: [ 90. 800.  11. 142.]
State: [ 90. 800.  11. 142.], Action: 0, Reward: -0.0, Next state: [ 90. 950.  12. 142.]
State: [ 90. 950.  12. 142.], Action: 0, Reward: -0.0, Next state: [ 90. 350.  13. 142.]
State: [ 90. 350.  13. 142.], Action: 0, Reward: -0.0, Next state: [ 90.   520.01  14.   142.  ]
State: [ 90.   520.01  14.   142.  ], Action: 0, Reward: -0.0, Next state: [ 90. 950.  15. 142.]
State: [ 90. 950.  15. 142.], Action: 0, Reward: -0.0, Next state: [ 90. 950.  16. 142.]
State: [ 90. 950.  16. 142.], Action: 0, Reward: -0.0, Next state: [ 90. 950.  17. 142.]
State: [ 90. 950.  17. 142.], Action: 0, Reward: -0.0, Next state: [ 90.   250.08  18.   142.  ]
State: [ 90.   250.08  18.   142.  ], Action: 0, Reward: -0.0, Next state: [ 90.    49.38  19.   142.  ]
State: [ 90.    49.38  19.   142.  ], Action: 1, Reward: -493.8, Next state: [100.    44.82  20.   142.  ]
State: [100.    44.82  20.   142.  ], Action: 1, Reward: -448.2, Next state: [110.    42.52  21.   142.  ]
State: [110.    42.52  21.   142.  ], Action: 1, Reward: -425.20000000000005, Next state: [120.    40.18  22.   142.  ]
State: [120.    40.18  22.   142.  ], Action: 1, Reward: -401.8, Next state: [130.  50.  23. 142.]
State: [130.  50.  23. 142.], Action: 1, Reward: -500.0, Next state: [140.    48.51  24.   142.  ]
State: [140.    48.51  24.   142.  ], Action: 1, Reward: -485.09999999999997, Next state: [ 30.    26.08   1.   143.  ]
State: [ 30.    26.08   1.   143.  ], Action: 2, Reward: -260.79999999999995, Next state: [ 40.    22.02   2.   143.  ]
State: [ 40.    22.02   2.   143.  ], Action: 2, Reward: -220.2, Next state: [ 50.    20.03   3.   143.  ]
State: [ 50.    20.03   3.   143.  ], Action: 2, Reward: -200.3, Next state: [ 60.    18.39   4.   143.  ]
State: [ 60.    18.39   4.   143.  ], Action: 0, Reward: -0.0, Next state: [ 60.    17.94   5.   143.  ]
State: [ 60.    17.94   5.   143.  ], Action: 0, Reward: -0.0, Next state: [ 60.    17.94   6.   143.  ]
State: [ 60.    17.94   6.   143.  ], Action: 2, Reward: -179.4, Next state: [ 70.    27.81   7.   143.  ]
State: [ 70.    27.81   7.   143.  ], Action: 2, Reward: -278.09999999999997, Next state: [ 80.  54.   8. 143.]
State: [ 80.  54.   8. 143.], Action: 2, Reward: -540.0, Next state: [ 90.   88.9   9.  143. ]
State: [ 90.   88.9   9.  143. ], Action: 0, Reward: -0.0, Next state: [ 90.  99.  10. 143.]
State: [ 90.  99.  10. 143.], Action: 0, Reward: -0.0, Next state: [ 90. 100.  11. 143.]
State: [ 90. 100.  11. 143.], Action: 0, Reward: -0.0, Next state: [ 90.  143.5  12.  143. ]
State: [ 90.  143.5  12.  143. ], Action: 0, Reward: -0.0, Next state: [ 90. 100.  13. 143.]
State: [ 90. 100.  13. 143.], Action: 0, Reward: -0.0, Next state: [ 90.  99.  14. 143.]
State: [ 90.  99.  14. 143.], Action: 2, Reward: -990.0, Next state: [100.    82.95  15.   143.  ]
State: [100.    82.95  15.   143.  ], Action: 2, Reward: -829.5, Next state: [110.    72.01  16.   143.  ]
State: [110.    72.01  16.   143.  ], Action: 2, Reward: -720.1, Next state: [120.  80.  17. 143.]
State: [120.  80.  17. 143.], Action: 0, Reward: -0.0, Next state: [120.   99.5  18.  143. ]
State: [120.   99.5  18.  143. ], Action: 0, Reward: -0.0, Next state: [120.   45.5  19.  143. ]
State: [120.   45.5  19.  143. ], Action: 0, Reward: -0.0, Next state: [120.    41.07  20.   143.  ]
State: [120.    41.07  20.   143.  ], Action: 0, Reward: -0.0, Next state: [120.   40.4  21.  143. ]
State: [120.   40.4  21.  143. ], Action: 0, Reward: -0.0, Next state: [120.    40.69  22.   143.  ]
State: [120.    40.69  22.   143.  ], Action: 2, Reward: -406.9, Next state: [130.    42.12  23.   143.  ]
State: [130.    42.12  23.   143.  ], Action: 2, Reward: -421.2, Next state: [140.    40.88  24.   143.  ]
State: [140.    40.88  24.   143.  ], Action: 2, Reward: -408.8, Next state: [ 30.  25.   1. 144.]
State: [ 30.  25.   1. 144.], Action: 2, Reward: -250.0, Next state: [ 40.    21.68   2.   144.  ]
State: [ 40.    21.68   2.   144.  ], Action: 2, Reward: -216.8, Next state: [ 50.    19.07   3.   144.  ]
State: [ 50.    19.07   3.   144.  ], Action: 2, Reward: -190.7, Next state: [ 60.    14.03   4.   144.  ]
State: [ 60.    14.03   4.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.     9.18   5.   144.  ]
State: [ 60.     9.18   5.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.    19.91   6.   144.  ]
State: [ 60.    19.91   6.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.    25.99   7.   144.  ]
State: [ 60.    25.99   7.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.    48.88   8.   144.  ]
State: [ 60.    48.88   8.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.    95.83   9.   144.  ]
State: [ 60.    95.83   9.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60. 106.  10. 144.]
State: [ 60. 106.  10. 144.], Action: 0, Reward: -0.0, Next state: [ 60.   110.99  11.   144.  ]
State: [ 60.   110.99  11.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.   162.46  12.   144.  ]
State: [ 60.   162.46  12.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.   106.53  13.   144.  ]
State: [ 60.   106.53  13.   144.  ], Action: 0, Reward: -0.0, Next state: [ 60.   97.4  14.  144. ]
State: [ 60.   97.4  14.  144. ], Action: 1, Reward: -974.0, Next state: [ 70.   95.9  15.  144. ]
State: [ 70.   95.9  15.  144. ], Action: 1, Reward: -959.0, Next state: [ 80.    82.12  16.   144.  ]
State: [ 80.    82.12  16.   144.  ], Action: 1, Reward: -821.2, Next state: [ 90.   68.1  17.  144. ]
State: [ 90.   68.1  17.  144. ], Action: 1, Reward: -681.0, Next state: [100.    60.63  18.   144.  ]
State: [100.    60.63  18.   144.  ], Action: 1, Reward: -606.3000000000001, Next state: [110.    51.06  19.   144.  ]
State: [110.    51.06  19.   144.  ], Action: 1, Reward: -510.6, Next state: [120.    44.96  20.   144.  ]
State: [120.    44.96  20.   144.  ], Action: 0, Reward: -0.0, Next state: [120.    38.97  21.   144.  ]
State: [120.    38.97  21.   144.  ], Action: 0, Reward: -0.0, Next state: [120.  37.  22. 144.]
State: [120.  37.  22. 144.], Action: 2, Reward: -370.0, Next state: [130.   34.9  23.  144. ]
State: [130.   34.9  23.  144. ], Action: 2, Reward: -349.0, Next state: [140.    27.22  24.   144.  ]
State: [140.    27.22  24.   144.  ], Action: 2, Reward: -272.2, Next state: [ 30.    23.09   1.   145.  ]
State: [ 30.    23.09   1.   145.  ], Action: 1, Reward: -230.9, Next state: [ 40.    21.03   2.   145.  ]
State: [ 40.    21.03   2.   145.  ], Action: 1, Reward: -210.3, Next state: [ 50.    20.01   3.   145.  ]
State: [ 50.    20.01   3.   145.  ], Action: 1, Reward: -200.10000000000002, Next state: [ 60.    13.08   4.   145.  ]
State: [ 60.    13.08   4.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.     9.16   5.   145.  ]
State: [ 60.     9.16   5.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.    19.08   6.   145.  ]
State: [ 60.    19.08   6.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.    22.09   7.   145.  ]
State: [ 60.    22.09   7.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.    44.29   8.   145.  ]
State: [ 60.    44.29   8.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.    68.39   9.   145.  ]
State: [ 60.    68.39   9.   145.  ], Action: 0, Reward: -0.0, Next state: [ 60.  85.  10. 145.]
State: [ 60.  85.  10. 145.], Action: 1, Reward: -850.0, Next state: [ 70. 115.  11. 145.]
State: [ 70. 115.  11. 145.], Action: 1, Reward: -1150.0, Next state: [ 80. 145.  12. 145.]
State: [ 80. 145.  12. 145.], Action: 1, Reward: -1450.0, Next state: [ 90.   101.21  13.   145.  ]
State: [ 90.   101.21  13.   145.  ], Action: 0, Reward: -0.0, Next state: [ 90.  85.  14. 145.]
State: [ 90.  85.  14. 145.], Action: 0, Reward: -0.0, Next state: [ 90.  85.  15. 145.]
State: [ 90.  85.  15. 145.], Action: 0, Reward: -0.0, Next state: [ 90.    58.99  16.   145.  ]
State: [ 90.    58.99  16.   145.  ], Action: 0, Reward: -0.0, Next state: [ 90.  50.  17. 145.]
State: [ 90.  50.  17. 145.], Action: 0, Reward: -0.0, Next state: [ 90.   47.3  18.  145. ]
State: [ 90.   47.3  18.  145. ], Action: 2, Reward: -473.0, Next state: [100.    42.99  19.   145.  ]
State: [100.    42.99  19.   145.  ], Action: 2, Reward: -429.90000000000003, Next state: [110.  39.  20. 145.]
State: [110.  39.  20. 145.], Action: 2, Reward: -390.0, Next state: [120.    35.05  21.   145.  ]
State: [120.    35.05  21.   145.  ], Action: 0, Reward: -0.0, Next state: [120.    33.95  22.   145.  ]
