Transition Profile during evaluationwithout reward shaping:
Q-table shape: (5, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [10, 10, 6, 7]
Bins length: 4
Bins: [array([  0.,  29.,  58.,  87., 116., 145., 174., 203., 232., 261., 290.]), array([1.000000e-02, 2.500090e+02, 5.000080e+02, 7.500070e+02,
       1.000006e+03, 1.250005e+03, 1.500004e+03, 1.750003e+03,
       2.000002e+03, 2.250001e+03, 2.500000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 10
State: [60.   38.97 16.    8.  ], Action: 0, Reward: -0.0, Next state: [60.   46.01 17.    8.  ]
State: [60.   46.01 17.    8.  ], Action: 0, Reward: -0.0, Next state: [60.   52.01 18.    8.  ]
State: [60.   52.01 18.    8.  ], Action: 0, Reward: -0.0, Next state: [60. 54. 19.  8.]
State: [60. 54. 19.  8.], Action: 0, Reward: -540.0, Next state: [70.   50.17 20.    8.  ]
State: [70.   50.17 20.    8.  ], Action: 0, Reward: -501.70000000000005, Next state: [80. 45. 21.  8.]
State: [80. 45. 21.  8.], Action: 0, Reward: -450.0, Next state: [90.   30.56 22.    8.  ]
State: [90.   30.56 22.    8.  ], Action: 0, Reward: -305.59999999999997, Next state: [100.    30.01  23.     8.  ]
State: [100.    30.01  23.     8.  ], Action: 0, Reward: -300.1, Next state: [110.    28.01  24.     8.  ]
State: [110.    28.01  24.     8.  ], Action: 0, Reward: -280.1, Next state: [ 0.   18.51  1.    9.  ]
State: [ 0.   18.51  1.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   16.81  2.    9.  ]
State: [ 0.   16.81  2.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   13.01  3.    9.  ]
State: [ 0.   13.01  3.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   10.01  4.    9.  ]
State: [ 0.   10.01  4.    9.  ], Action: 0, Reward: -0.0, Next state: [0.   8.17 5.   9.  ]
State: [0.   8.17 5.   9.  ], Action: 0, Reward: -0.0, Next state: [ 0. 16.  6.  9.]
State: [ 0. 16.  6.  9.], Action: 2, Reward: -160.0, Next state: [10. 26.  7.  9.]
