Transition Profile during evaluation with reward shaping:
Q-table shape: (10, 10, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [5, 5, 6, 7]
Bins length: 4
Bins: [array([  0.,  58., 116., 174., 232., 290.]), array([1.000000e-02, 5.998080e+02, 1.199606e+03, 1.799404e+03,
       2.399202e+03, 2.999000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 1000
State: [110.    43.38  24.     4.  ], Action: 0, Reward: -433.8, Next state: [ 0.  37.9  1.   5. ]
State: [ 0.  37.9  1.   5. ], Action: 0, Reward: -0.0, Next state: [ 0.   38.11  2.    5.  ]
State: [ 0.   38.11  2.    5.  ], Action: 0, Reward: -0.0, Next state: [ 0.   29.99  3.    5.  ]
State: [ 0.   29.99  3.    5.  ], Action: 0, Reward: -0.0, Next state: [ 0.   28.91  4.    5.  ]
State: [ 0.   28.91  4.    5.  ], Action: 0, Reward: -0.0, Next state: [ 0. 27.  5.  5.]
State: [ 0. 27.  5.  5.], Action: 0, Reward: -0.0, Next state: [ 0.   29.56  6.    5.  ]
State: [ 0.   29.56  6.    5.  ], Action: 0, Reward: -0.0, Next state: [ 0.   40.94  7.    5.  ]
State: [ 0.   40.94  7.    5.  ], Action: 0, Reward: -0.0, Next state: [ 0. 55.  8.  5.]
State: [ 0. 55.  8.  5.], Action: 0, Reward: -0.0, Next state: [ 0.  55.5  9.   5. ]
State: [ 0.  55.5  9.   5. ], Action: 0, Reward: -0.0, Next state: [ 0.  57.1 10.   5. ]
State: [ 0.  57.1 10.   5. ], Action: 0, Reward: -0.0, Next state: [ 0. 57. 11.  5.]
State: [ 0. 57. 11.  5.], Action: 0, Reward: -0.0, Next state: [ 0. 58. 12.  5.]
State: [ 0. 58. 12.  5.], Action: 0, Reward: -0.0, Next state: [ 0. 57. 13.  5.]
State: [ 0. 57. 13.  5.], Action: 0, Reward: -570.0, Next state: [10.   56.17 14.    5.  ]
State: [10.   56.17 14.    5.  ], Action: 0, Reward: -561.7, Next state: [20.   56.28 15.    5.  ]
State: [20.   56.28 15.    5.  ], Action: 0, Reward: -562.8, Next state: [30.   53.54 16.    5.  ]
State: [30.   53.54 16.    5.  ], Action: 0, Reward: -535.4, Next state: [40.   56.19 17.    5.  ]
State: [40.   56.19 17.    5.  ], Action: 0, Reward: -561.9, Next state: [50.  67.2 18.   5. ]
State: [50.  67.2 18.   5. ], Action: 0, Reward: -672.0, Next state: [60. 62. 19.  5.]
State: [60. 62. 19.  5.], Action: 0, Reward: -620.0, Next state: [70. 55. 20.  5.]
State: [70. 55. 20.  5.], Action: 0, Reward: -550.0, Next state: [80.  49.5 21.   5. ]
State: [80.  49.5 21.   5. ], Action: 0, Reward: -495.0, Next state: [90.   45.88 22.    5.  ]
State: [90.   45.88 22.    5.  ], Action: 0, Reward: -458.8, Next state: [100.    42.68  23.     5.  ]
State: [100.    42.68  23.     5.  ], Action: 0, Reward: -426.8, Next state: [110.    41.85  24.     5.  ]
State: [110.    41.85  24.     5.  ], Action: 0, Reward: -418.5, Next state: [ 0.   48.52  1.    6.  ]
State: [ 0.   48.52  1.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   39.62  2.    6.  ]
State: [ 0.   39.62  2.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   41.25  3.    6.  ]
State: [ 0.   41.25  3.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   37.12  4.    6.  ]
State: [ 0.   37.12  4.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.  32.5  5.   6. ]
State: [ 0.  32.5  5.   6. ], Action: 0, Reward: -0.0, Next state: [ 0.  39.5  6.   6. ]
State: [ 0.  39.5  6.   6. ], Action: 0, Reward: -0.0, Next state: [ 0.   51.69  7.    6.  ]
